Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
bettercap,bettercap.exe,v2.31.1,T11D873985F99504ABCF68E534C69653107770BC508F22ABC72B95BA3D6D72BE42EBD300,7e0e6556e8f8e84c86c5f4bc9c42c1f28d3118e403eed573ed5d1b4bb62b4fc8,2024-12-05T09:18:26.059804+00:00
bettercap,bettercap.exe,v2.31.0,T107874B85F99504ABCF69E434C59A5310B770BC508F22A7C72B95B93D6E72BE42EBD300,415cd018737996032f23bd621dba87837548268b26800ea70ac94efce0808d11,2024-12-05T09:18:30.382919+00:00
bettercap,bettercap.exe,v2.30.2,T12B875A8AF99505ABCF68E834C6864350B770BC548F22A7C71B55B63D6D72BE42EBD300,d81e2b670482428baa60bf2460ba8ac07bd14d4f1a89fd8591d9968ad7951d64,2024-12-05T09:18:34.490315+00:00
bettercap,bettercap.exe,v2.29,T150974A85F55505EBCF69E535C59A8300B770BC508B22BBCB2B66B53C6972BD82EBD300,1cb75ea54ce012277a535dcfff26543fab0437d4dd90717c8dc1df1f131bce3a,2024-12-05T09:18:42.257332+00:00
bettercap,bettercap.exe,v2.28,T105876B86F9A504ABCF69E436C6950310B730BC548F22B7C74A55B67DAD727E82FAD300,1289e6308dc617c089ebdb9b19c26b3d6ef21077d23f876b7974957f3a69648a,2024-12-05T09:18:46.426183+00:00
bettercap,bettercap.exe,v2.27.1,T136877C86F5A105ABCF69E531C6951320B730BC609F22B7C74B56763D6E727A82FAD300,7bf1aeeb09935eed9e28d95808ff62f14a6f2f2911942fff86e005b59b7671e7,2024-12-05T09:18:51.484251+00:00
bettercap,bettercap.exe,v2.26.1,T1DD877B86F5A108ABCF69E430C6951320B770BC509F22BBC74B56B67D6D727A46FAD300,e51719c61b86bf3f58dd473950ecce6db865c43b618aec51f67aac2a0619a49f,2024-12-05T09:18:58.936803+00:00
bettercap,bettercap.exe,v2.26,T17C876A86F5A108ABCF6AE431C6951320B730BC509F22B7C74B56B67D6D727A46FAD300,671760d51f9c58ed798b90fdfb65254eb22ce3d701b87c64d02357895dd12495,2024-12-05T09:19:03.786562+00:00
bettercap,bettercap.exe,v2.25,T1EB97F7C9F65519AFCF2AB530C2966310F7307C508A12AB8B6767712E5973AF45FAE300,35e7cd24ae50eecf643049c2b2097d5f1a59592a051a002f2797088b536d42d1,2024-12-05T09:19:09.049656+00:00
bettercap,bettercap.exe,v2.24.1,T1E1971AC9F695199BCF2AF530C2966350F730BC508A12ABC76767712E5937AE41FAE300,6d7cbb003b6de121d6e07a0f368067487786ae024ba820a4f817a8690adcb1c4,2024-12-05T09:19:13.154144+00:00
bettercap,bettercap.exe,v2.24,T104972AC9F695199BCF1AF530C2966350F730BC508A12ABCB6767712E5937AE41FAE300,370f38900bfbb97458b1016d592392915a62eaa313786006abe43fa1684bee38,2024-12-05T09:19:17.247364+00:00
