Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
donut,donut,v1.1,T19C935C36BBE2C2B8D0E6D1746A6BC117DBB070E55620720B335C4E292F23B985F5E785,6b18ee18c68281ac1294554e4c4ab903ab77d8af9824d859505ba368c0aa4054,2024-12-05T10:42:46.222895+00:00
donut,lib/libdonut.so,v1.1,T151835C3BFAB1C3E8D4E6D174A95F422ACBB430AB56316747630459263F23B645F1E2C8,6761dddee7dd79dc34efee25ba2898cd4dfd07db34c84a7af40edcf58f5a2496,2024-12-05T10:42:46.224411+00:00
donut,lib/aplib64.a,v1.1,T1E3A2D6E3EBD18FA8F02B9231975B83B29B6DE65D45344303761C226A2F366D60F57281,45dba76acce3ef2f33b5842a56af63caa7b68305f0f788cde9ce546f7fdddfca,2024-12-05T10:42:46.224958+00:00
donut,lib/aplib64.lib,v1.1,T15332D5D3EFD88169F02BE731DA97D2A7CB7A36CA17125993720C12733761AD116AB301,03f0d9cfe42edf9f20df102c195808c4cd3dba38a8ba79d01bb2108775c3ad4a,2024-12-05T10:42:46.225392+00:00
donut,lib/aplib32.a,v1.1,T15C72F5F763A24D31E52A46353296531277FED10A5CE283D77B0C16A62F027F3AE8B184,ee26d6cc70205e01eb7a2fa4f3f450f7f25442e8653def3cde132d0f100b1a44,2024-12-05T10:42:46.225831+00:00
donut,lib/aplib32.lib,v1.1,T1E322CAF7A7F41C12F33B8F70B6925502E6BF54493B9282C5771C06621B23BB6AE47245,d43ba31fd13738c67e06c22c2ce2d4be6c6bde42a743597b213d12582f1da886,2024-12-05T10:42:46.226239+00:00
donut,lib/libdonut.a,v1.1,T10E93F822FBE2CADAE45AC23056BB6321AB79FC9956227307331C351A6F33F544F59148,08fdcbd71dfeb4c616e4b26cf43772811469412381e653bc3b71b4386f84cbbd,2024-12-05T10:42:46.227942+00:00
donut,donut.exe,v1.1,T15C448C15B3A510F6E8738234C9119706FEB27C4543A09B8F23A85BB6AF776E06D3D790,3c6710646d8eb93fc6055378a71a6114518c5f456e634dab028a72a40c3f47aa,2024-12-05T10:42:46.488930+00:00
donut,test/inject_local.exe,v1.1,T114E36B5773A530F9E1778278C8915A46F7B2B83207209B9F03A447762F236D19E3EB61,6760e3c163c1ff060607b1a47cae431394e10058573c62d18ab8492781a2c541,2024-12-05T10:42:46.491739+00:00
donut,test/inject.exe,v1.1,T154E37D1773A530F9E0779238C8625A46F7B2B83207609B9F03A457761F236D15E3EB62,41b3d773d06b02d661735b90514fd93617342839a2cbb87027977ad77df4f943,2024-12-05T10:42:46.494179+00:00
