Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Imphash,Date Added,Intel
HavocFramework/Havoc,DllLdr.x64.bin,git:8a0ea85f01d94c1ca904ec19e3c94a2219428ec4,T1AD81BB7FF7A3D10CC15BD0F42B468DFAA450BD385770D05362D6071222A6EA8AEED786,5c0e704e9ef1c720080c207dc8281c49e386533a6502d7becbbd398953c98a1c,N/A,2023-02-27T20:01:07Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x64.bin,git:74ac7847edbf64e4e9ab06608b3a7cfb4b168896,T1AC11210399426AF9C539CFF48656E6F7FC79688A78CCB902279DC95715224123CCB520,af8b2d9ab1b18aa5a2fb3ada3c80d4503326b2812c647c2e7cca9e2353deffcc,N/A,2022-12-20T22:38:51Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x64.bin,git:cb9c1aeefb92c3ddbb258efaf535a2aecaf6e572,T18611A527980264ACC119C7B95846E5F3FD70388B396C7D331FBACE0180754983D0B439,2141170384d98b8a124daef9e530e141be8010136249223341afb194dbf482bb,N/A,2023-05-02T02:53:22Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x64.bin,git:a193e2b89a9ec435bdb6418f97e3c1ca2f9df020,T13F113217988278A9C919CBB9164ED8A3F9B4389738A8A8131FB5CD1284628947E07439,aebc3baf045d5dbc28ee202b2d15c4334cd6a47b86bfed472f5aa55deda88f7e,N/A,2023-05-13T03:29:07Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x64.bin,git:64d3f39e514fedeed37594c571c079e64bd972e1,T1F111A817884278D9C51DC7B8054FE9B3FD7038973DE4B9131BB5CE1284218553E47435,573f0b8679914c0d1a9f5e65d51828446ec91db98df3f087bcce44921a224e8b,N/A,2023-05-19T19:54:11Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x64.bin,git:b2b5091798a45c4f7fa4dd3748693b2454f2271b,T1D73193374842B5ADC92CC3B8400EEAB3A83135CB787459632BB9CD0280754987A07469,a643e19cb169b76cdef929d1e5c21b9a08072cdff774bbfacc3d172a059f6c31,N/A,2023-05-20T04:18:00Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x64.bin,git:232567a27532b218a7c8ea85710d7b9d991da208,T18331C627580734ECC53AC7B9048B9EF2E87130CB7975E9976338C543943C8A47A62268,77dff875bbbb7ce672be856e98b5b57954da8b27861015773da4ff5e196d4dd8,N/A,2023-05-30T17:27:11Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x86.bin,git:cb9c1aeefb92c3ddbb258efaf535a2aecaf6e572,T1E41184029967A836CE4346F38076F58F95310F00B5362FE1FBD05C024833101791EE76,b4d2ba189afa1b3f30b7105b2dcd0ed283043ed2dddf63b4657f7e1d15e41c1f,N/A,2023-05-02T02:53:22Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x86.bin,git:a193e2b89a9ec435bdb6418f97e3c1ca2f9df020,T1451180036997587AC9830AF380B6F68B95321A14FA7A3ED1BFD56C024D33112B90EC20,55552aaed580c6deda11c1ad705292f2522e262a2017933370ba06f66fce9424,N/A,2023-05-13T03:29:07Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x86.bin,git:64d3f39e514fedeed37594c571c079e64bd972e1,T120114403799769B6C98706F3C0B6FA8BA5311A14F9B97ED1BFD218418D33111B54EC21,a73dbf38f59925daf6c6c70747a7559c97296fb2c25c61e9acbf5eace4cf802c,N/A,2023-05-19T19:54:11Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x86.bin,git:b2b5091798a45c4f7fa4dd3748693b2454f2271b,T167119812695A5465CD4B06B3C05AE8CBDA354F10A13D0EA7ADD62C078877200FD0E966,c54b308b810fe6a41851f3b39409327584fdf36c336e9c00572fc3798cc1a86a,N/A,2023-05-20T04:18:00Z,https://github.com/HavocFramework/Havoc
HavocFramework/Havoc,Shellcode.x86.bin,git:232567a27532b218a7c8ea85710d7b9d991da208,T1B611C81619899827CA8704F3D06EF88B5E510E20653A0E97CEE574474477612E94A9BE,1c09df343d44344a5b2bdee50971dce543d309f913eea0873e8534540824d40f,N/A,2023-05-30T17:27:11Z,https://github.com/HavocFramework/Havoc
