Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added,Intel
AlessandroZ/LaZagne,LaZagne.exe,v2.4.6,T14EA6334467F400FFF9FB49398591C61090B5BC670B96D09B43F843AB1F97AD22E2AB58,467e49f1f795c1b08245ae621c59cdf06df630fc1631dc0059da9a032858a486,ba5546933531fafa869b1f86a4e2a959,2024-06-11T13:37:35Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,LaZagne.exe,v2.4.5,T1B1C6331122B121B3FAE54635C562D832A476FC360B62C46A83F405777C97EEAB63DF60,3cc5ee93a9ba1fc57389705283b760c8bd61f35e9398bbfa3210e2becf6d4b05,7aa1951517b3b8d38b12f874b66196c9,2023-02-22T16:52:46Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,lazagne.exe,2.4.3,T191663345F1701DEBE6BA9A76C873C054F5327C23836592CB63E880536EA7B91683DF60,ed2f501408a7a6e1a854c29c4b0bc5648a6aa8612432df829008931b3e34bf56,a62ff465f3ead2e578f02d3a2d749b7b,2019-09-16T14:21:46Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,lazagne.exe,v2.4.2,T136463384B1A00CE7E972513BAD30C516F431BC17171982EB53E88A53BE777B65A7CBA0,5a2e947aace9e081ecd2cfa7bc2e485528238555c7eeb6bcca560576d4750a50,a62ff465f3ead2e578f02d3a2d749b7b,2019-02-18T16:57:49Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,laZagne.exe,2.4,T1F5663384B1742DEBD6B20639DD62E423B530BD331755C6DB23E89693AC1B3E26A3D341,c03ef8106c58c8980b7859e0a8ee2363d70e2b7f1346356127c826faf2c0caa3,e5d81cf6a49d9472d6de8c1764efdfb4,2018-09-02T20:32:57Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne_x64.exe,2.3.2,T1DBB6334AF2B00DEBD0721737FDA3A42369717827039D99E763E998A1AA5F3913D74301,d5fa28cbf3a73ac20d908acedfce3849477648e37391e8e926ec2e7933f175a0,e5d81cf6a49d9472d6de8c1764efdfb4,2018-03-22T09:51:42Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne_x86.exe,2.3.2,T121663394F4B18DB3E1B71434A6F6D7346C3AED730728A6EBA7CC081B0A6174162BD758,709df1bbd0a5b15e8f205b2854204e8caf63f78203e3b595e0e66c918ec23951,fc40519af20116c903e3ff836e366e39,2018-03-22T09:51:42Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,2.3.1,T1D2563389F65088B7D036293482F1C631B67D9E23431E56BB87C056A72B74FE5B33A394,6095c89d2fc86b215a1fe2d1848862d03736c9e91d4f3aa7009fb0837c1263b5,fc40519af20116c903e3ff836e366e39,2017-10-18T13:08:31Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,2.3,T1064633C9F6291CDBD536693481F6D572F2798F13830F5A3BCA8499833276F59A239380,058d4efce1007e6cfb7a4e0ff9fee7e0b5172a2e0059d21d876d40e4ec2d90ae,4e3e7ce958acceeb80e70eeb7d75870e,2017-09-15T12:52:04Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,2.2,T1D14633C9F6291CDBD536293585F6D572F1798F13830F4A3BCB8499832276F59A23A380,9485a1630d9283d7efee3828fca32d72cfcb3fb1e91015a9753df09a21f14da2,4e3e7ce958acceeb80e70eeb7d75870e,2017-05-17T21:07:14Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,2.1,T1FA463389E0AA09E7F9B3103465EAF3397C35DD334B0ACAB5C3CC985365A2B1621BC355,6b6bd8516840b60faac26c3f40e50ab616e7428e763fd61f6299da2843743422,4e3e7ce958acceeb80e70eeb7d75870e,2017-04-28T13:34:52Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,2.0,T1025633CDF6251DDBD97A297581E6E832F1758F13830A457BCA806C83267AF997339380,5d953d887abf65fa7c8d3a2336b6ec8e510b1019819e93a6cfc0d767b0c89a4c,be10bb45cef8dcc6869b921dd20884ae,2016-12-20T16:39:23Z,https://github.com/AlessandroZ/LaZagne
AlessandroZ/LaZagne,Windows/laZagne.exe,1.8,T1625633C9F6191CDAEA37197486E6E433F2759E03830B5A36CA819DC32177F59A339384,87e2cf4aa266212aa8cf1b1c98ae905c7bac40a6fc21b8e821ffe88cf9234586,be10bb45cef8dcc6869b921dd20884ae,2016-11-15T14:50:20Z,https://github.com/AlessandroZ/LaZagne
