Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
PEASS-ng,linpeas.sh,20241205-d6ec1557,T1A705F95C680CBFB29125C97C1CA51FBE19A77F0E3962081970EC770CB7DC8AE50B65A9,0af3b26710c183e88ca4d5adc5dfb07f5f1731709f7c83019ba2174016a2b6f5,2024-12-07T00:55:45.739472+00:00
PEASS-ng,linpeas_darwin_amd64,20241205-d6ec1557,T19DE5BF4BBD902154D52AD33A89E75E821B78B84B272167C33F54A3F71F726DB18B8324,7c977fbf41f50eb6ab7731fe2ed70b43053a06d4603cd55793a9c44af63adda1,2024-12-07T00:55:46.093560+00:00
PEASS-ng,linpeas_darwin_arm64,20241205-d6ec1557,T1D1E5AE46BD5C3542DB4A673E6BF14FC6272CF44629A263277D10FAAB1EF13528C23225,9e30c8fcb62871d8fdc2fdd9e731a7bae83e54eb60eb722f45614e68ac19ad3d,2024-12-07T00:55:46.467659+00:00
PEASS-ng,linpeas_fat.sh,20241205-d6ec1557,T1F9F6CF770687BCFD3E650C81980129490C5D7B4F2269524AFACC35BE73EE5A8CE38979,a6ff962a875631b5d7ca581b3bd478635952633f2f15006df85d731f95921000,2024-12-07T00:55:47.610276+00:00
PEASS-ng,linpeas_linux_386,20241205-d6ec1557,T177E5D045FDC224B1D9032B3A44E7AA9B0B39F9072B31EB83B9447F97697709B1875138,c2ab8ae33189c6d2481c9578d56a58394d93ea21336170105874015adcf7354d,2024-12-07T00:55:47.928066+00:00
PEASS-ng,linpeas_linux_amd64,20241205-d6ec1557,T192E5AE4B7C9031D4C56A923A89E15A931BB4F847273263C33F816BF71B766DA4CB9324,349fb971fa336ef9bc07e8c7589a0d73676de2b97f69c231333b30ee3114214d,2024-12-07T00:55:48.281650+00:00
PEASS-ng,linpeas_linux_arm,20241205-d6ec1557,T1C6E5AE4BBD912245C4D4373FACFD8AC03769B67B275627162D05EE7A36BE09A0CB4324,068383e26dc1db0003221a6a0467d81845c287748d0fdacb71cf267ec381c437,2024-12-07T00:55:48.642054+00:00
PEASS-ng,linpeas_linux_arm64,20241205-d6ec1557,T14EE5AE06BC6C3545E989233A7BF20AC1377DB94B6A6253333E54A6FB39F131A4D52132,b7a8b6f7e1ccfa640e12c4bed2dca0685dec8a78e86202991086b7ebbdec9065,2024-12-07T00:55:49.044559+00:00
PEASS-ng,linpeas_small.sh,20241205-d6ec1557,T1907337446817763B927BC2390DB61E6011F75F4E36A6232A347D319E8FB208D7819CBB,c0b2773b824a644fa9c3d91c459cc67bc0ee9413f538149926c2c8946b072420,2024-12-07T00:55:49.268451+00:00
PEASS-ng,winPEAS.bat,20241205-d6ec1557,T1C0F2A58625041C2943F6E7B7AA454F80037311772D17A9CD3ADDA8BD9B2E1EE1B321DB,c4763326f599868a7db6fa708553ba637fbd36323763dc831698538cd404f32b,2024-12-07T00:55:49.466379+00:00
PEASS-ng,winPEASany.exe,20241205-d6ec1557,T1DFA6F002F3E44A95D5FB427991B20A52A772B4068731D7CF338C45AA2F337D1AA39367,c3e0a30c7fafe2b4e8c991c78db0a6faab4197603ffcd49f06defecccb3061ab,2024-12-07T00:55:50.190446+00:00
PEASS-ng,winPEASany_ofs.exe,20241205-d6ec1557,T143A6F002FBD80195D9FB4279A4761616C776B0168734EBCB338C84A82F237D1AE7A357,42cac00525fbb302800854a60826ff5aa7ae78dc6ac8a67dc842a7f770b0f2ba,2024-12-07T00:55:50.897468+00:00
PEASS-ng,winPEASx64.exe,20241205-d6ec1557,T19EA6F002F3E44A95D5FB427A91B20A52A772B4068731D7CF338C45A92F337D1AA39367,60d93c7dc67d93ba8ac189e1a3d6ae92059f7d585eafd91a0725e43a4be02cb6,2024-12-07T00:55:51.626477+00:00
PEASS-ng,winPEASx64_ofs.exe,20241205-d6ec1557,T1FBA6F002FBD80195D9FB4279A4761616C776B0168734EBCB338C84A82F237D1AE7A357,22e480c82ac5f07645d117437c688862753be3d4f44149ff261a108629440f38,2024-12-07T00:55:52.295006+00:00
PEASS-ng,winPEASx86.exe,20241205-d6ec1557,T1B5A6F002F3E44A95D5FB427991B20A52A772B4068731D7CF338C45AA2F337D1AA39367,ac6fb251873697c51e29344d9483c4872dcb85ba8783411c6e4671d0486b96f0,2024-12-07T00:55:53.001465+00:00
PEASS-ng,winPEASx86_ofs.exe,20241205-d6ec1557,T1A9A6F002FBD80195D9FB4279A4761616C776B0168734EBCB338C84A82F237D1AE7A357,239dc162305d621afc9995d1c236d8209b266679af905dd72b9fd87dc0f42c1c,2024-12-07T00:55:53.692447+00:00
PEASS-ng,linpeas.sh,20241205-d44f1315,T14D05F95C680CBFB29125C97C0CA51FBA19A77F0F3962081974EC770CB7DC8AE50B65A9,8f86d40049d14d84311781a77660a1b0a3e8ca23d12b01a94f36cf2043544066,2024-12-07T00:55:54.175241+00:00
PEASS-ng,linpeas_darwin_amd64,20241205-d44f1315,T189E5AF5BBD902144C52AE23E89E75A821B74F847273167C33B54A3F31FB26DB58B9324,55168df2e78c12f13232c1bd030c6855f33c6277769980d6fcb86ac53f2ca434,2024-12-07T00:55:54.570969+00:00
PEASS-ng,linpeas_darwin_arm64,20241205-d44f1315,T1A1E5AD46BD4C3542D74A723E6BE14FC6272DF54729A293263E14FBAF0EF27164C22225,64d6b0928d8a9f50d7fd8cd124bd1823b28087c14fa81edf40e8338892922135,2024-12-07T00:55:54.942174+00:00
PEASS-ng,linpeas_fat.sh,20241205-d44f1315,T1A6F6CF770687BCF93E650C81980129490C5D7B4F2269524AFACC35BE73EE5A8CE3C979,5db94a93ff25248cdf97d4aefde0e2f93d86fc83e4d9f2cb33b7abee31bff523,2024-12-07T00:55:55.927259+00:00
PEASS-ng,linpeas_linux_386,20241205-d44f1315,T1E3E5CF45FDD630B4D9071A3A44E7AA9B0738FA072B31FB83BD442B976A7709B1875138,649b1490f5545093a5d470ab336ec9c9b04904012e991d52c13722d5abc85be1,2024-12-07T00:55:56.288730+00:00
PEASS-ng,linpeas_linux_amd64,20241205-d44f1315,T18AE5BF4BBCD031A4C56A923A89E55A931B74F847273213C33F416BF72B766DA4CB9324,82e3bcacff1bdf019bef1c1f9032b711d3caba9440208e8df72886bc2392b4dc,2024-12-07T00:55:56.646836+00:00
PEASS-ng,linpeas_linux_arm,20241205-d44f1315,T10EE5AE8B7D912645C4D5363FA8FD8AC03769BA7B275763062D05DE7B36BE09B08B4320,60df338d0f84307d7c679537e10bd1bdc1a7e07e367707de61d6cac5f2c18203,2024-12-07T00:55:56.964526+00:00
PEASS-ng,linpeas_linux_arm64,20241205-d44f1315,T118E5BF45BC6C3545D98D233A7BF21AC1337DB54B6A6283373E50A7EB29F231A4D52232,543dc90904666e3ce9e93ccb37d8eade2126912d542a787113017c65421a0e0c,2024-12-07T00:55:57.362259+00:00
PEASS-ng,winPEASany.exe,20241205-d44f1315,T14AA6F002F3E44A95D5FB427991B20A52A772B4068731D7CF338C45AA2F337D1AA39367,83a0ffd737a132a92cb52b4dc9616625bcd7f72d66ae77702392e7e843713330,2024-12-07T00:55:58.589448+00:00
PEASS-ng,winPEASany_ofs.exe,20241205-d44f1315,T1C7A6F002FBD80195D9FB4279A4761616C776B0168734EBCB338C84A82F237D1AE7A357,98af3f8fb9b8685e89d78c700d58a27ba8acc4b4581c5ff35a11fa7a049dc112,2024-12-07T00:55:59.127551+00:00
PEASS-ng,winPEASx64.exe,20241205-d44f1315,T1E5A6F002F3E44A95D5FB427A91B20A52A772B4068731D7CF338C45A92F337D1AA39367,9f72ac4e34b97d172b7c03d92fdc954414799b60752eed215eca79ee0825203d,2024-12-07T00:55:59.758280+00:00
