Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added,Intel
quasar/Quasar,Quasar v1.4.1/client.bin,v1.4.1,T1DAE56B053BF85E23E56FE6B2A1B1440757F0F81AB3A3FB1B218163781D53B505D42AAB,8fb6ae3496d4ac025eab443d3e322b0faa3461d25b54093c9205d35746e3250e,f34d5f2d4577ed6d9ceec516c1f5a744,2023-03-12T16:15:09Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.4.1/Gma.System.MouseKeyHook.dll,v1.4.1,T1E8433B3D1BACDA21CDD98B7E90E2014147B0DB9B2983E7976F5DA1F02CEB7640CB115A,a67a424013544c8270c12633e2e1e287cd5cf0b3f2e81e8d8204b37a03da59ef,dae02f32a21e03ce65412f6e56942daa,2023-03-12T16:15:09Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.4.1/Quasar.Common.dll,v1.4.1,T1F553E82067ACC36DC75E0A79F4B5023A02B9914B3101FFBE9B8DF46A7D72B8254056F6,de930a748e4dc08c851ba0a22afce8dcfd0f15f23b291f9306c8ef6ccd7460a2,dae02f32a21e03ce65412f6e56942daa,2023-03-12T16:15:09Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.4.1/Quasar.exe,v1.4.1,T10245A5BA235D7099E66576F404526090E1F36D3289BB61292C7F38AC49B1B37CC43B9F,43315abb9c8be9a39782bd8694a7ea9f16a867500dc804454d04b8bf2c15c51e,f34d5f2d4577ed6d9ceec516c1f5a744,2023-03-12T16:15:09Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.4.0/client.bin,v1.4.0,T1F2A46C4213EC852BF9AD177AE43245246BF8E40BB16BEB4F5A40F1F92C573469E407A3,f67f8a343f25b773efb7760f27dbf3ca02f40c0cc599c0987d3631a2c7d37f2b,f34d5f2d4577ed6d9ceec516c1f5a744,2020-06-05T15:44:08Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.4.0/Quasar.Common.dll,v1.4.0,T17E53E9166BA8C36DC76E0979F4F0022907B5819B3111FFBF9B8DF46A7E6238214116F6,68af05941efa6757cb7aea5ec4b8962582e6be4cc54901d7f2ef072c947b5db5,dae02f32a21e03ce65412f6e56942daa,2020-06-05T15:44:08Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.4.0/Quasar.exe,v1.4.0,T13D45A4FA235D7099E65576F404526090E2F36E3289BB61292C7F38A805B1B37CC537AF,7b8499114a3b7db8f52d2f960be8f48760e02de45dde0ada69ebc785833ea801,f34d5f2d4577ed6d9ceec516c1f5a744,2020-06-05T15:44:08Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.3.0.0/client.bin,v1.3.0.0,T128446C5863AC8A6BD4FE0774F03108558FF1E957B15BF39E5A94A4AD2D333808582BB3,42b02f1c1118c037f18aa331b8b21a159ba4faf412b3bf319cec6cd4eaaafb9a,f34d5f2d4577ed6d9ceec516c1f5a744,2016-09-28T14:44:16Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.3.0.0/Quasar.exe,v1.3.0.0,T18765A5F9234D709AE65576F404565090E1F3AD3119B7A26A6C7F38A809B1B27CC03BEF,ef012e22ef53045f48b574b395788c8639f853484bd78f4c9ad63532d916c1f9,f34d5f2d4577ed6d9ceec516c1f5a744,2016-09-28T14:44:16Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.2.0.0/client.bin,v1.2.0.0,T132245B1423AD4769E3EF0778F430D01283B8D967F55ADBEE2E8094AA38563B196413F7,aa2f547166861199008f02741ea020ef515b977780c3a7e853358b6394b9ed49,f34d5f2d4577ed6d9ceec516c1f5a744,2015-10-12T07:55:52Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.2.0.0/Quasar.exe,v1.2.0.0,T1CB45B3F9234D7099E6557AF408926090E2F36D3149B762296C3F386819B5B27CC43BEF,bf255473df63db13ef08bb121681f48863e4a2f65fa4b81cf04eb72d6e657bf7,f34d5f2d4577ed6d9ceec516c1f5a744,2015-10-12T07:55:52Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.1.0.0/client.bin,v1.1.0.0,T180245D14239C4B5AE6DF037CE430501583B8DA6BF51AD7EADE8094F63C367998B416B3,b1e1c5613e1753aefb7ca712d11ab864f629d384e3550b939d71e36b2852adbd,f34d5f2d4577ed6d9ceec516c1f5a744,2015-08-30T14:03:02Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.1.0.0/Quasar.exe,v1.1.0.0,T1BA45B4FA234D7099E65536F408566090E2F36D3149E762296C7F38681976B2BCC03BEF,8e4732c33f20cfcb9d2b22ef388c1a22bbf1de084474de1cd1b88d3da275a938,f34d5f2d4577ed6d9ceec516c1f5a744,2015-08-30T14:03:02Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.0.0.0/client.bin,v1.0.0.0,T146146C0123A8876AF7DF0779E430465183F2EA17FA0AD7C94E84D4F92D1EB91DA406B7,f4bc845e5cd12ec0fd60696f84c38fcc13760940de5de969c266ba356a1933a0,f34d5f2d4577ed6d9ceec516c1f5a744,2015-08-22T16:51:42Z,https://github.com/quasar/Quasar
quasar/Quasar,Quasar v1.0.0.0/Quasar.exe,v1.0.0.0,T13345A4F9234D7099E65976F408566090E2F36D3249A762392C3F786849B6B27CC03BDF,858c92a9e421e8588c79eac6aedc270e5b5bbf539372647bd3a9ab79e15a4388,f34d5f2d4577ed6d9ceec516c1f5a744,2015-08-22T16:51:42Z,https://github.com/quasar/Quasar
quasar/Quasar,xRAT 2.0 RELEASE4.1/client.bin,RELEASE4.1,T187543A4137EC831AF3EE2B79E87422418BB5FE57B87EE7DD898190B91C6574089007A7,355f7f60ad387986e243272208fe48452b5fd031d41702b0d21ef3c7a1931390,f34d5f2d4577ed6d9ceec516c1f5a744,2015-07-12T07:58:18Z,https://github.com/quasar/Quasar
quasar/Quasar,xRAT 2.0 RELEASE4.1/xRAT 2.exe,RELEASE4.1,T191456AD2BBD2C809C53AB6F4B8B18AC49375BC0A9994A71D78B0361D98B1313DD9371F,f2f2f90b0139749abbc3d257506649b6183ec984b7289818fac4d4808a8e9409,f34d5f2d4577ed6d9ceec516c1f5a744,2015-07-12T07:58:18Z,https://github.com/quasar/Quasar
quasar/Quasar,xRAT 2.0 RELEASE4/client.bin,RELEASE4,T1EF54288233EC421BF3EE6779E47081468BB5FE66B86FD7DD8A4090B95C26744C9017A3,85d06f34198bea71b2144fc4c0d138d8e4b072312c840b2f62f74717feaeead7,f34d5f2d4577ed6d9ceec516c1f5a744,2015-06-14T19:15:46Z,https://github.com/quasar/Quasar
quasar/Quasar,xRAT 2.0 RELEASE4/xRAT 2.exe,RELEASE4,T118456BC2BFD28809E47A76F4B8B18AC48335BC0A9698971D78B0361D98B5713DD9335F,63c0c9e03586b36bba16e6cd2f73a71d675f39e9a4c87b09aaa2253cb763c833,f34d5f2d4577ed6d9ceec516c1f5a744,2015-06-14T19:15:46Z,https://github.com/quasar/Quasar
