Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added,Intel
RustScan,rustscan,2.3.0,T1D5165C2BB1A2A86CD157C07063DACBF25A21BC3915353A6F73D0A7323E76CD05A59B13,7d70ff5a924cf1aa53f575d30668ba596b96c10890c53e2e17abab654fc6be95,2024-12-11T07:55:57Z,
RustScan,tmp/rustscan-2.3.0-aarch64-macos/rustscan,2.3.0,T1A4F5AF52BD0D283ADACAF3FD9D854E9AB02EF5600214D24B341B439CE4527E54A3DFB6,f62dba62180204afc21ac9392e636528467b59e9d9099000fe36b1fb9cfa7733,2024-12-11T07:55:58Z,
RustScan,tmp/rustscan-2.3.0-x86_64-linux/rustscan,2.3.0,T1DC264B03F5B254ECD57AC834835AAA33FA25BC4D41257E27ABD49B203E55F206F0EB91,93d64e57aef034c952b0b69d164f7f3cd248a398946080d4b7364aa199861718,2024-12-11T07:55:58Z,
RustScan,tmp/rustscan-2.3.0-x86_64-win-gnu/rustscan.exe,2.3.0,T1F5265C43F6A295ECC16AC07443467B32FA72BC4D4535BBBB8BE08B312E61B10661DF59,95cd5d6fce9d54e9467a76e5e0bcca077fb087a5efc6b799d6b54e5e577a4fb8,2024-12-11T07:55:59Z,
RustScan,tmp/rustscan-2.3.0-x86_64-windows/rustscan.exe,2.3.0,T16A163A47F65245ECC46AC078834A6A32FA32BC4D4734BAFB4BD087312E56BD06A3DB55,a21c9087090ff1b4e2622e19cfaddc69faee10798406d416ce899ce6260fad31,2024-12-11T07:55:59Z,
RustScan,rustscan-2.2.3-x86_64-windows/rustscan.exe,2.2.3,T1C9165C53F69255ECC06AC07443476632B632BC8C4B25BBFB5BD087312E52BA06E7CB59,37471af00673af4080ee21bd248536147e450d2eff45e8701a95d1163a9d62fe,2024-12-11T07:56:00Z,
RustScan,rustscan-2.2.2-x86_64-windows/rustscan.exe,2.2.2,T161165B53F69255ECC06AC074834A5732B632FC880B256BFB57D086313E52BA06F7EB59,110462b753de490e72f8f389103dda34e7f33946c69cbede51bb31869fd4f055,2024-12-11T07:56:01Z,
RustScan,rustscan,1.9.0,T14BA76C151AA80B61D6EBAE37C47E23443B717A3CD509C7A34D69C3B04C62258FE9E71E,79ae6c7f573084664e905cfe31dc0fa11ccc5e13cd646bc61e87f553a45f907e,2024-12-11T07:56:04Z,
RustScan,rustscan,1.8.0,T1A3F58DB2FAE35B69C49AF934815E6221A731FC145F23DB53DFD48A302D12F60AE09716,0a6eac2180b2b349879f1bf2d1af1e43a8a014090db20a3ec0a6c9f486da23d9,2024-12-11T07:56:05Z,
RustScan,rustscan,1.7.1,T15F969E02FFB01E2AD9DBD934C46E6321BB30F9047212DB631BD796602D1A291EF1DA57,2b22c0e77cdb1880f44ecefcb4742b7b50350f4bf4f4f329a586ee2c9a763d19,2024-12-11T07:56:06Z,
RustScan,rustscan,1.1.0,T180067C09AFBC1B34D8FB993744AE63607B31F9048216CB630966D6B13D1326DEF29785,3dc845f4c73b3ec2f5029812c3cb9851474e81d06fe990ee27c9fc73f5c04115,2024-12-11T07:56:08Z,
RustScan,rustscan,1.0.1,T1B5067D01AFB81B35D8EBD937446E63307B72FA048216CB630966E7B11D1225DFF2A749,9a687d04cd7afbb481b16bf5cbb711b879ef0e01f4195746c43ed0c3ac968c06,2024-12-11T07:56:09Z,
