Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Imphash,Date Added,Intel
bettercap/bettercap,bettercap,v2.31.1,T1F7578D86F89304E6CBBEF13086915223BA713495C3217BDB1FE4D96536A6BE42B7D310,6076038723228a17a5d6ddb440a35a17e3fef7e79c467729b0cff92a40c26885,N/A,2021-05-22T13:43:54Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.31.1,T152677C86BC1E2577DFC86A71B7AA03DC333D704CC55183265621D6B9ADE239C8F672A0,a278b191f7d36419d390dfca4af651daf1e9f1c7900ec1b3f627ab6c2f7b57e2,N/A,2021-05-22T13:43:54Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.31.1,T1B7775C86FC5205F6CFFAE4708A961368BB303059C32177D71BA495B51E22BEC6A7E350,74e85473d8cbeaa79b3c636032cbd0967387c4e9f95e253b4ae105eccd208a4f,N/A,2021-05-22T13:43:54Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.31.1,T1EA576CC7F8528573CFE42E76E8BE42C833360179C387A5495D1AD8387A6B1ED4AB5390,ba850327b349ed0497fd6e262ecacb6acc0cde54f3bf4b824f23a000b664d8ce,N/A,2021-05-22T13:43:54Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap.exe,v2.31.1,T11D873985F99504ABCF68E534C69653107770BC508F22ABC72B95BA3D6D72BE42EBD300,7e0e6556e8f8e84c86c5f4bc9c42c1f28d3118e403eed573ed5d1b4bb62b4fc8,34d63baeefdcf7792cff32a13bca208b,2021-05-22T13:43:54Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.31.0,T1A5677E86BC2E65B7DFC86671BB9A03DC333D704CC19183265661D6B49DE239C8F672A0,978cf317c1bc5ac1da1d4fb2c23e60b55307125f736c40b85fdff6a148e37761,N/A,2021-04-17T15:31:18Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.31.0,T16F776B9BFC5205F6CFBAE0708A961319BB303059C32177D71BA4A5B52E22BDC6A7D350,481088a3574ec16450a00e663e0bb1137abcde2d9878be1792438b83b4a7bb7d,N/A,2021-04-17T15:31:18Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.31.0,T15B575CC7B8528573CFE42E76F8BE41C8333601B8C387A5495D16D8787A5B2ED4AB53A0,212917115deb4d72d127af5d48ac168a94f823b73ba5506a8df460418eb64b0b,N/A,2021-04-17T15:31:18Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap.exe,v2.31.0,T107874B85F99504ABCF69E434C59A5310B770BC508F22A7C72B95B93D6E72BE42EBD300,415cd018737996032f23bd621dba87837548268b26800ea70ac94efce0808d11,34d63baeefdcf7792cff32a13bca208b,2021-04-17T15:31:18Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30.2,T1B0676C96BC1F25B7DFC86A71B7A602EC333D7008C55193365A25D5B8ADE239C8F72260,4060f708db3e1313f90c651ad06ec56e13d10d1f0fa9bf193f33d5e3ac43b03f,N/A,2021-03-14T20:47:37Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30.2,T1A1675B86FC1609F6CBFDE070CA8653597B303059C32177D72AA495B52E22BDC6ABE350,108763e3e30b6e10bd8e5707004e893840020cf25f3e4e066adf800af187df83,N/A,2021-03-14T20:47:37Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30.2,T1C9575BC7F8528673CFE42E76A8BE41C8333601B9C3C755591D15D8787AAB2EE0AB5390,a7cc67f92d918d4dbba475ad9cab84c7852ad4577be14f3d10356f753b54efc6,N/A,2021-03-14T20:47:37Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap.exe,v2.30.2,T12B875A8AF99505ABCF68E834C6864350B770BC548F22A7C71B55B63D6D72BE42EBD300,d81e2b670482428baa60bf2460ba8ac07bd14d4f1a89fd8591d9968ad7951d64,34d63baeefdcf7792cff32a13bca208b,2021-03-14T20:47:37Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30.1,T1B8675B86FC1609F6CBFDE070CA8653597B303059C32177D72AA495B52E22BDC6ABE350,3c672821494cd328812ee32179ac346326cea096a48700453f8e68d22ee2ea91,N/A,2021-03-14T20:36:50Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30.1,T173575BC7F8528673CFE42E76A8BE41C8333601B9C3C755591D15D8787AAB2EE0AB5390,314fd36245b61e673be0f183d6b16125b070a2ae80c2d5986417624ab9cc8367,N/A,2021-03-14T20:36:50Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30,T14C479D81BD2E7497EF8D6A31F3A642EC323DB045C5A182375B64EA68D5F33988F53160,ef50c6de716aca8922a5e29f471ebb886251341fca23331be5990c3915a1ebd4,N/A,2021-03-12T14:02:10Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.30,T1A1675B9BFC1205F7CFBDE0708A861358BB303059C32177D71AA585B56E26BD86ABE350,476dec88d90fd6757b63d1f460db4233ae85e8b1878f3a1ab058841390444794,N/A,2021-03-12T14:02:10Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.29,T18B378B817C2EB097EF8C7A30B7A642EC723D7045C5A18177AB75EA68E5E2358CF53160,9e2172a9b5e5906221d16524b4db9b4cad4755ae89769f55250a66ed8fb61e88,N/A,2021-01-20T10:54:28Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.29,T18E676B87F85205F6CFFDE4708A8653687B303049C32077D71EA1A5B55E16BD8AABE360,f3ebd960e7f00665908c8f738413a43d9d6d368999aa30b537161e671e8aa959,N/A,2021-01-20T10:54:28Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap.exe,v2.29,T150974A85F55505EBCF69E535C59A8300B770BC508B22BBCB2B66B53C6972BD82EBD300,1cb75ea54ce012277a535dcfff26543fab0437d4dd90717c8dc1df1f131bce3a,439d5eaec3edf2b040ad3c5230b2df41,2021-01-20T10:54:28Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.28,T18E678D87F95200D2CFBDE430C69A1325BA31F095C2317BCB1FA495567AA6BE46F6E310,fe51f8c61fe3d06a204bf1340ef472646dd8085149ca1c1608e7977f70664b09,N/A,2020-07-03T12:30:09Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.28,T1EC477D41791D3593EF8C7A31B3BA42AD323E7044C6B182366A71DE78D6E33A88F57521,976cfdbfc804007de2487d1b5cf49712d8bad8611fd8df1b82ed4380559e9cf2,N/A,2020-07-03T12:30:09Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.28,T18A777C97FC5205F7CFFDE4708AEA0318BB313059C22177871AA194A55E167ECAABD360,4a110ff3d9cc75631f84ab3f3c68019d4f6b93e21bd635c4f13a054b2721121b,N/A,2020-07-03T12:30:09Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap.exe,v2.28,T105876B86F9A504ABCF69E436C6950310B730BC548F22B7C74A55B67DAD727E82FAD300,1289e6308dc617c089ebdb9b19c26b3d6ef21077d23f876b7974957f3a69648a,1b54d448e6283f48747b19c790b27d04,2020-07-03T12:30:09Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27.1,T135678D87F9520092CFBDF430C69A5325BB70F095C2317BC72EA495967AA2BE46F6D310,36247029a78ea0e7b27103b7f9bf07b58f362e2633ef34741afe2794aa0173d6,N/A,2020-04-13T15:35:16Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27.1,T1DA478E81791D3597EF8C7A31B3F542A9323EB088C6A281776B61DDB4D5E33988F23251,33d250efb7662f092b8b94c759fdda6095093519021c2dfd8c2c32930552647a,N/A,2020-04-13T15:35:16Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27.1,T15F777C9BFC5605B7CFBDE0B0CADA0318BB303059C22177971B6194A55E16BDCAA7E360,96e43c95f79dd98f4b1af9cdac2268ad25a6a7db54a7f68c16715131b053ab01,N/A,2020-04-13T15:35:16Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27.1,T193376DCBB8664583CEE43A36F5FE41C8337211BAC393555A5D16CD34BAAF1AA0E76310,18f46e37ae71bb5efc2b2a867a8f7db313fa5bbbd9b7a64d93702a3e8e82fb14,N/A,2020-04-13T15:35:16Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap.exe,v2.27.1,T136877C86F5A105ABCF69E531C6951320B730BC609F22B7C74B56763D6E727A82FAD300,7bf1aeeb09935eed9e28d95808ff62f14a6f2f2911942fff86e005b59b7671e7,1b54d448e6283f48747b19c790b27d04,2020-04-13T15:35:16Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27,T148678C87F9520096CFBDE430C69A1325BB70F095C2317BCB2FA495567AA6BE46F6D300,7b7445b4713bb5bd87a93d647de92498f495408f039e72bcf9ef5e74cd187991,N/A,2020-04-08T08:52:24Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27,T13C477E45BD1E7597EF8C7A31B7B901A9323E7045C6A282376B61EDB4D9E33984F23210,82617d87d0194a22d7f67cc7fc80538abd6990f8458e7d10e988258f6c79ba3d,N/A,2020-04-08T08:52:24Z,https://github.com/bettercap/bettercap
bettercap/bettercap,bettercap,v2.27,T146777D9BFC5605F7CFFDE4708A960328BB303059C22177871EA194A55E16BECAA7D360,9518714d5fe40919aa31f71d44569c058f5ece6bb6cf370a691a738a964315f4,N/A,2020-04-08T08:52:24Z,https://github.com/bettercap/bettercap
