Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added
legion,legion.py,git:c9bde3b24afbe2fa0dc11fa73be0d27b57c069ae,T15C81D906111E92F6C7900ADEBB04C1FBA33F20F3FE65818524A84B65928967B14F61E8,007f7438749896eebe3ff7a20ca78a4cbba7c74430f3a10643d65b58ec2a8769,2024-12-11T06:13:42.974541+00:00
legion,legion.py,git:9edbd52b03c97e64836d9d8a82e99b71a29b11ac,T1BB81C906111E93F6C7840ADDFB14C1FBA33F21F3BE75918524A84B65828A66B58F71F8,afe3092ca72785c4bfa3e101c9618b03fe68eaebe274a54a76998590d3d13be1,2024-12-11T06:13:43.407726+00:00
legion,legion.py,git:c95341444465235c2c00ea98c941ba7f91296adf,T1BF81A806015E92F6C7800ADEBA14C1FBB33F21F3BA75818854E84B658186A6B18F75F8,af4ea2d45447d27164b4cc6f374204a7e717d1639ac53bc029ac1f59c6b3af31,2024-12-11T06:13:43.899967+00:00
legion,legion.py,git:6b6dca066258346297b9b16793b31b9ae3cc7024,T17DC133002123A679CF574EDEA63AC1E6D33B20A368A3C55874ACD6815F81BF8DCE25D4,31ab6b0391736bfb66026f09503c59a7010f46053a9d1f2db410946f945450d0,2024-12-11T06:13:44.297912+00:00
legion,legion.py,git:ba13e5752e1b9ad00c57597fb65857c9881dfd5b,T15591A705141292B5C78789ED7E02C1F6A33724E7B95095A838EC8B948F46B7548F36FC,7aef9eb0e4e5f737b8442fa73bb4e1122186f7992b4eec5ee79495b74ceb7858,2024-12-11T06:13:44.814615+00:00
legion,legion.py,git:60970dc15bb1d50d5747bfd78528ecc6073ed4fc,T168A19606101352B6C78789DD7A02C1F6A33324E7BA1095B839EC8B949F4677848F36EC,6770173cb51e1fc55625610cca9a73dc3cf44574598b83ab855344a93f759ac5,2024-12-11T06:13:45.229808+00:00
legion,legion.py,git:cdbec82b3ab7c759b39e3495bffdf19627574034,T14FC1A606102253B6CB8749DD7F03C1E6B33324E3BA10856839EC8B94AF4667948F36EC,721f2c1d489046ba47ac725d411fe86aeabd55ff067ad57a64a328961163f172,2024-12-11T06:13:45.652040+00:00
legion,legion.py,git:3e04ae34c7815ac326d461f402b0432e3e927fce,T1BDC1A606102253B6CB8749DD7F03C1E6A33324E3BA10856839EC8B94AF4667948F36EC,f7506e935933eb246c11a8745c74a147c2a8d3817fccef806e87df9783238134,2024-12-11T06:13:46.063108+00:00
legion,legion.py,git:3c680d181b1a98d740101f5bb47a8b38365a245f,T1AEA1A606041393B6C78749DD7E06C1F6A33324E3BA5085A839EC8B959F85A7908E36FC,a16b81fa97c04d3ef193ab15cc77733d0ddccb6e586eebb9488cfee428abc9a6,2024-12-11T06:13:46.501607+00:00
legion,legion.py,git:8403d3fdb6ff9a74d5891f7b44428fbd7e068259,T1E5A1A906041293B6C7478ADD7A06C1F6A33325E3BE50857838EC8B959F4967908F32FC,f0a28ae985070e05f1a4efdb0e00d6a7f766af4e81c31bb281b6cdfa04e3ea83,2024-12-11T06:13:46.908256+00:00
legion,legion.py,git:550b069d5603aef783832a2f532ec7493de20941,T1B6B1B606111753B6C78789DDBA46C1E6A33320E37A10C5B439EC8B959F8667908E37FC,7fb41d1929c0c3f5f2356f82219fc16aac21e4f0dbbee0bb33af7a8c0e58f9b9,2024-12-11T06:13:47.745267+00:00
