Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added,Intel
nicocha30/ligolo-ng,agent,v0.7.5,T16F563A47F85055A4C1EDD234867A8252BB70BC895B2167D33B60F7B82F73BE46AB9340,a8a52079bda5a74177b44e05711d94cedf4f03770ef73ad4b229b635b49a6a12,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T113565BC5BC5C6892DAC8BAB42B754395B238EC48CF81D7566610FB6EEDF13148F62360,697610564f9d44654e9d781235e2d11d4797a1c9217b6433d958f1806282ac9e,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T136562847F89051E8C1EED27086269253BA717C995B3023D33B60F7B82F36BD46AB9354,1e7ba9d661e583fc7cc8e8df38178f8e1031e496281a1fce2eeaff6ea888caff,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T187465B98BC1DB462EAC87DB47B654194B239FC889F8187137614FBBDA9F23548F21360,2d745e063af9aa73f1d7467bea795178e55a7cebdf67a942d1931b0e3b8fb1ab,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T1A6462A57B8924A82C4E43677B8BE81C433670EB99B9B17666D04FE3C3BBE1990D35314,e3fe604a0c0c8315c02555d2e9d97532fe1c4eebe30c37f72d56263560125410,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T1B9462B57B8914A82C4E43A7BBCBD81C833A70FB99B9716566D04FE3C3ABE1990D35314,952968265bb892e8601b2246b7b436cf4632c4cc8a03a4515bd4727d0a29652b,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T102563943F89451E8C1EED27486269252BA707C895B3027E37F60F7B82F36BD46A79314,232eb09809c2298e303890ba711177781940040a21def0ab5f4b3553451c6012,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T11F465BD8B81D6462EED87DB43B7542947235FC489F8297237614FBADADF23148F22260,5fcf0f94d703a706858a238e22ee6c4fe94798e6861c58093739d9cbb4c026c2,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T1DD562B47B8924A83C4E43A76A87D80C433A71EB9979B57666D01FE3C3FBE1990E35314,85743610b5a0fae6dd6545db81d00a0233d516554c10fca19571bc93da3b97d4,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
nicocha30/ligolo-ng,agent,v0.7.5,T194562B47B8924A83C4E43A76A8BD80C433A71EB9979B57665D01FE3C3FBE1990E35314,2d64ad5b37bacac38014c4cb4a571a7d5b48ed79b09e8f2f6de3ddfce076fa5e,N/A,2025-01-01T13:05:45Z,https://github.com/nicocha30/ligolo-ng
