Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Imphash,Date Added,Intel
Ne0nd0g/merlin,merlinServer-Darwin-x64,v2.1.3,T189278C43F8A149A8C2E9C174857682267BB1BC494B256BD76B60F7343F77FD0A6B9300,c4136c2d8a43c200c32a5eca8497aeecbe9eee96540a47ecbfec02437495b7d8,N/A,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinCLI-Windows-x64.exe,v2.1.3,T1BB077C03E8A545A9C1EDD274C5A782167B717C448B3663DB2B60F6343FB3BE0AA79350,34b16195a6f26d123a43209cbc39eb0afe5a848c6192981fe200645e968ed3b5,4f2f006e2ecf7172ad368f8289dc96c1,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Windows-x64-Debug.exe,v2.1.3,T1B0C64B07E86105F4C5EED534C66A9263BA717C484F3427E76B60F7282F72BE06AB9740,441ed1073708136d33669e4fbb0f5f807aa43f28031a9f87cb90da10eb66447c,c2d457ad8ac36fc9f18d45bffcd450c2,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinCLI-Darwin-x64,v2.1.3,T187F68C43FCA149B4C1E9D23089329216BB72FC494B2167D76F60F6346F76BD0AAB9350,974ec41fd9d3bb5da479ae2aab5a0b632b4663e45b70b12a876d9a12a4468a28,N/A,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Windows-x64.exe,v2.1.3,T153C64B07E86105F4C5EED534C66A9263BA717C484F3427E76B60F7282F72BE06AB9740,d806e3e0c84b0b7208fb4ba9df5cd7b8851abce5c0bbb3ee330560aaa139f243,c2d457ad8ac36fc9f18d45bffcd450c2,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Darwin-x64,v2.1.3,T1C2B64B43F8A105E4C9AED13486669223BB717C495B3123D76F60F7282F77BD0AAB9740,7a0ee1ac8a880fecb59fc4e84e3e4150e5734efa3063d50273a31ff3a0b68c3f,N/A,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinCLI-Linux-x64,v2.1.3,T150078C07FCA549B8C1E9D1348967811A7B71BC458B7563CB2B60F7342FB2BC4AA7A350,1a1490e1669473e2848dd84a864925b7b6f2aaf5612fb6e15fa899528ad1f2e7,N/A,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlin.dll,v2.1.3,T1DBD65C03F86315F8C5A9D230C5A69263BA71BC485B3277D76B60F73A2E72BD06679700,93c90b360bbec90ce601a2f19c1b406ebd362e3bede80db5f01671359243414d,f797e2c7ee8726b15ff2ba13bf1f1b20,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Linux-x64,v2.1.3,T166B65C47F8A141E4C5AED630C666D263BA717C498B3423DB2F60F7282F72BD066B9744,6697c90c6844f83512af328182db5a8c92c4cd900890a33cf082b7c71bb042e3,N/A,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,merlinServer-Linux-x64,v2.1.3,T1AA278D43F89145B8C1E9C170C66692267BB1BC498B7467C76FA0F6382F72BD4AA7D304,dca0d5bf6cb1452604d495153f7b063d8dae7fca3d58f1552255a080f5853fd4,N/A,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,merlinServer-Windows-x64.exe,v2.1.3,T100277C43ECA145F8C1E9D634C5A782677AB1BC494B3563DB2B60F6382FB2BD06679340,d675cfeacc2cc45f3c4ce26d930beebbebe10ffd2a80a601c0c217b8fe087998,4f2f006e2ecf7172ad368f8289dc96c1,2024-04-23T05:14:33Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,merlinServer-Darwin-x64,v2.1.2,T147277D43FCA045A9C1E9D17085768226BBB1FC494B3567D76B60F6342EB3FD0AAB9340,00215fa946057301979b2d5353e37f0112f72e6b025d01a1c2cda97d4cd1c6f8,N/A,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinCLI-Windows-x64.exe,v2.1.2,T1ED077C03E8A545A9C1EDD274C5A782167B71BC448B3663D72B60F6343FB3BE0AA79350,929c877f29175142a6566f28a823a364c9647e377b974dc76e1b4bc2b3679495,4f2f006e2ecf7172ad368f8289dc96c1,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Windows-x64-Debug.exe,v2.1.2,T121C64B07E8A541F4C5EED534C6269263BA717C484B3563E72F60F7282F72BE06AB9740,ba0776f1d9b084a99a3ea3cedc74eb3dad08801bcfa30412f9f86fad2400d3e2,c2d457ad8ac36fc9f18d45bffcd450c2,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinCLI-Darwin-x64,v2.1.2,T1E0F68C43FCA149B4C1E9D23089329216BB72FC494B2167D76F60F6346F76BD0AAB9350,53b3b7df628334b0a70a806205e911539e38536e7f6c0efa3f767cad17cbb7cc,N/A,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Windows-x64.exe,v2.1.2,T1E8C64B07E8A541F4C5EED534C6269263BA717C484B3563E72F60F7282F72BE06AB9740,8cdd4889802baf9b351e4e0db921666b0073243a625d919e64bc0aa203e75cd7,c2d457ad8ac36fc9f18d45bffcd450c2,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinAgent-Darwin-x64,v2.1.2,T18CB65A83E8A105E8C5AED53486769263BB717C494B3023D77F60F7282F76BD06AB9740,76be45f027494cdb7c5c96f99fa72961790c4f841e0b071f50d4df6d6aa707c5,N/A,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
Ne0nd0g/merlin,data/bin/merlinCLI-Linux-x64,v2.1.2,T123078B07FCA549B8C1E9C1748967811A7B71BC498B7563C72B60F7342FB2BC4AA7A350,9bb0d219535b16c6fddd02b624d5b008bdef2dd5d76ecf5c03d053e8f59baa88,N/A,2024-03-25T12:23:01Z,https://github.com/Ne0nd0g/merlin
