Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Imphash,Date Added,Intel
sensepost/ruler,ruler-linux64,2.4.1,T1B8B66D17FC9204E6C6FEE1348A96A322BEB178A5833177F35FE096691625FD4693D300,f3b5e0f54f1da134c5d3c135f5be8ae7e85e499e8e73fabf87ffe010c23749ef,N/A,2021-02-19T09:07:52Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-linux86,2.4.1,T1E7A68D50FDDB90FAEA430E7184ABA32F633095068329EFC7D7544E17F96B2D61936209,904b042e2ec7aa85331911b1343213292e061dcc4f2010d01f4f7b60f0198b10,N/A,2021-02-19T09:07:52Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-osx64,2.4.1,T1F4B66C07F89244E6C6BEE1348A55E322BB7074A983317BE72FD09A751E65FD46A3D300,f3e108c7993b8d46c832ac2499a97395cc18fc9c4c1656acc25c969c7090ffcd,N/A,2021-02-19T09:07:52Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-win64.exe,2.4.1,T104B67D02FCA614F5CABEE13085A1A3227AB1386943307BE71FD4967A1666FD47B3D314,42e504f3d9d9800c1c75ff6d8c5433d801e7148760cba709fa3bd5dd8e4a0208,167344a4df394fbba605fc972e41437a,2021-02-19T09:07:52Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-win86.exe,2.4.1,T1F6A67C40E89F90F5EF42453188B7A27F7330A6098725EFC7C6845E67F8176D20A736A6,021ae50ec89266dabb1f96f703ec04dad908eef0e63d12c1ed38a40833198f79,167344a4df394fbba605fc972e41437a,2021-02-19T09:07:52Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-linux64,2.4.1-unicode,T18BB66D17FC9204E6C6FEE1348A96A322BEB178A5833177F35FD096691625FD8693D300,7a60056797f2a0865f9d4f4b1dfa36ea807a2184487046a8cccb62b69b5e2f77,N/A,2021-02-19T09:21:01Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-linux86,2.4.1-unicode,T197A68D50FDDB90FAEA430E7184ABA32F633095068329EFC7D7544E17F96B2D61936209,756a8aa5bf7bc17ecbcaca1900cb38d2e6fe8608b3ba66b8def653bf57c85493,N/A,2021-02-19T09:21:01Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-osx64,2.4.1-unicode,T1E7B66C17FC9244E6C6BEE1348A51E316BBB174A983347BE32FD09A651E65FD06A3D300,645b51a45bcb65a278a09e4e53867d762cec34055f8060a1a161358c6b1cf3fd,N/A,2021-02-19T09:21:01Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-win64.exe,2.4.1-unicode,T1CCB67C02FCA714F5CABEE13485A1A3227AB1386943307BE71FD4967A1662FD47A3D314,f45c15869f8e219754d590c05ebb036fbb3d3a08e2e632f7603eaa35efdc9d5f,167344a4df394fbba605fc972e41437a,2021-02-19T09:21:01Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-win86.exe,2.4.1-unicode,T17BA67C50E89F90F5EF42453088B7A27F7330A6098725EFC7C6845E67F8176D20A772A6,a6292dc94d3144cdcbd28da2869bbeb34213b2a5296729f3931b5b1504ee123b,167344a4df394fbba605fc972e41437a,2021-02-19T09:21:01Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-linux64,2.4.0,T1A1A68E47FC9514FACAFEE2308B926311BF7134AA8731B7D36F908A555A25BD4693E300,6a473fdd9b5e22a70f9784a1cbbae071acfe06f1d92f4c477113d8bec0017a4e,N/A,2020-05-03T09:51:17Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-linux86,2.4.0,T1DD969D50F9CB04FAEA470A3094BBA22F673051058B78EBC3DA545F07FC3B5E65936299,4b715d5b2540089cbfe911af30dae286ab8323bae507e232b5742410eac36e93,N/A,2020-05-03T09:51:17Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-osx64,2.4.0,T17DA67D4BE89204E9C6BDE1748AA16311BF7170A943317BD76FD08A952E66FE47B3D300,62085757bec1686a33d219bd28a3a65e92bd07988cd0284492becd083cf351f4,N/A,2020-05-03T09:51:17Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-osx86,2.4.0,T171967B00FD9755FAEA07457184BBA32F67315106C734EFC7EA809E46F86B2E25A32319,8bd775dc764f0eced8af39c7d319c70ed49ee09fb5013e630b5874cf0b468445,N/A,2020-05-03T09:51:17Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-win64.exe,2.4.0,T1EBA67D43F8A614E9CBFDE17086626222BAB1345547317FE36F9486A62716FD07B3E340,d82200193144a6541d1883c94ab208c4e8811f6358de5e914b7673573c7345d6,1c2a6fbef41572f4c9ce8acb5a63cde7,2020-05-03T09:51:17Z,https://github.com/sensepost/ruler
sensepost/ruler,ruler-win86.exe,2.4.0,T180967D80E9AF20F5DF4354308873622F6330610A8B79DFD7DA541EA7F4275D24A376AA,27eefea75b640ff25512afbc539354e5baea063dc76753aa159e22dbd2734704,1c2a6fbef41572f4c9ce8acb5a63cde7,2020-05-03T09:51:17Z,https://github.com/sensepost/ruler
