Repo Name,File Name,Release Version,TLSH Hash,SHA256 Hash,Date Added,Intel
BishopFox/sliver,sliver-client_linux,v1.5.42,T14F873947B89540E8C5EDD234CA268256BFB07C895B3433D76B20F6B42E72BD45B7A360,c53bc13170b9ff26b0cca93715e947318e06cafe0d98cf825eabffe3c7f763cb,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-client_macos,v1.5.42,T1D7973943B89045A8C9D9D230C96543167BB1BC898B3077DB6B21FAB46E72FD45B7E320,b4153afec8b3aa55877961a3cd2bb34defdd8cfb9524620cb640750d08e304ea,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-client_macos-arm64,v1.5.42,T12D878DD9780C6471EF88BAB47B6802443379FC85CF91D76A2611FB5DA9F23088F66760,f82cb120b7c3c7ef03c656790fa81118e5e6cab286c458bdcc45220bbc5507dd,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-client_windows.exe,v1.5.42,T10E873A07F85149E4E5EDD13486254212BBB1BCB94B3033C76B60F6B42F7ABD85A7A360,b7f9eb0a95f3523aee8363c59e26a88bcf30d2160db862d4d167945ad342d777,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-server_linux,v1.5.42,T14E88E083F95201B9C99AD130CA654112BBB5BC960B7423D37A6CF2F42F72BD89B79350,2ce6ab2d48d613830f2cd7920ced86ca7b6782dbafe64af84ba476f71d08620e,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-server_macos,v1.5.42,T16E88E043F85501B9C99AD130C9650202BBB1BC864B3067D77A6CF2B46F72BD89BBE351,6e142c61b60e8590454a4ce20a8190bf07119ad5843457c9a46205ebea284fb3,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-server_macos-arm64,v1.5.42,T10188E0D5B90E1032EE85B570BF580244B3AAFC428FA0D65AB51CF3ACABF12548F76751,41710a6994b2ced4ba4d7931ba0312045ef5532d38ea0072c614f23a0983cc5c,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-server_windows.exe,v1.5.42,T16488F143F95205B9C59AD130C9294112BBB5B8A50B3023C77A6CF2F42F3ABD89BBD355,cb93e410d0d8660c4aef3b7f98c08408d3ca972b898705d681d9a569b61c703b,2024-02-28T19:43:18Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-client_linux,v1.5.41,T16A873947B89440E8C5EDD134CA268256BF707C895B3433D76B60F6B42E72BE46B7A360,afeb282bb991650ada2e73c65ed5a1770e1a3bc415b2e1e07462b854c077c93d,2023-07-11T21:25:48Z,https://github.com/BishopFox/sliver
BishopFox/sliver,sliver-client_macos,v1.5.41,T1B4974B47B89041A8C9DDD230C96542167BB1BC898B3077DB6B21FAB46E72FD45BBE310,a25b9df135c7a09348526cb0ffdd1e486b7cc6c16df811d83ef1d5402ec1f8ad,2023-07-11T21:25:48Z,https://github.com/BishopFox/sliver
